GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
cheney;16641.69;12486;4.672662;3
custom;8646.302;8182;2.415468;2
generated;8680.45;8548;2.417266;2
BinTreeII_8192B_Y=45_2018-10-03:20:05:58/
cheney;17000.04;11398;4.732057;3
custom;11687.15;8974;3.304625;3
generated;8906.526;8522;2.491228;2
BinTreeII_8192B_Y=46_2018-10-03:20:06:08/
cheney;16587.74;10944;4.65353;3
custom;10948.04;8274;3.073892;2
generated;9454.739;7806;2.663383;2
BinTreeII_8192B_Y=47_2018-10-03:20:06:17/
cheney;16040.69;12142;4.472527;3
custom;9287.407;7538;2.620094;2
generated;8218.358;7918;2.340659;2
BinTreeII_8192B_Y=48_2018-10-03:20:06:26/
cheney;14388.9;13450;4;4
custom;11377.08;9656;3.166667;3
generated;10794.94;10206;2.983918;3
BinTreeII_8192B_Y=49_2018-10-03:20:06:35/
cheney;17477.49;11857;4.894569;3
custom;12024.08;8328;3.402556;2
generated;7858.447;7517;2.220447;2
BinTreeII_8192B_Y=50_2018-10-03:20:06:45/
cheney;20676.12;13432;5.762557;4
custom;9391.084;7470;2.624049;2
generated;8196.189;7824;2.316591;2
BinTreeII_8192B_Y=51_2018-10-03:20:06:53/
cheney;13922.18;13380;3.846154;4
custom;12398.15;10626;3.452092;3
generated;10917.3;10488;3.02834;3
BinTreeII_8192B_Y=5_2018-10-03:19:59:39/
cheney;15467.8;13766;4.253819;4
custom;11329.47;10282;3.13631;3
generated;11265.99;11022;3.102233;3
BinTreeII_8192B_Y=52_2018-10-03:20:07:03/
cheney;18734.02;12031;5.223938;4
custom;9831.552;8153;2.783784;2
generated;7631.656;7405;2.175676;2
BinTreeII_8192B_Y=53_2018-10-03:20:07:12/
cheney;23198.28;17252;6.485075;5
custom;8068.489;7326;2.326493;2
generated;9447.022;7600;2.619403;2
BinTreeII_8192B_Y=54_2018-10-03:20:07:20/
cheney;11788.01;10030;3.295327;3
custom;9104.994;7936;2.588785;2
generated;8216.845;7458;2.304673;2
BinTreeII_8192B_Y=55_2018-10-03:20:07:30/
cheney;16943.72;10834;4.727941;3
custom;9856.721;7507;2.685662;2
generated;7458.831;7282;2.084559;2
BinTreeII_8192B_Y=56_2018-10-03:20:07:39/
cheney;13378.73;10186;3.740806;3
custom;7697.296;7230;2.236427;2
generated;7790.715;7506;2.185639;2
BinTreeII_8192B_Y=57_2018-10-03:20:07:47/
cheney;9052.598;8718;2.553982;3
custom;8201.437;7504;2.299115;2
generated;8222.372;7700;2.309735;2
BinTreeII_8192B_Y=58_2018-10-03:20:07:57/
cheney;19426.28;16050;5.379599;4
custom;9410.231;7997;2.683946;2
generated;7842.582;7657;2.212375;2
BinTreeII_8192B_Y=59_2018-10-03:20:08:07/
cheney;14631.94;11200;4.082077;3
custom;12794.02;8586;3.691792;3
generated;7652.194;7360;2.162479;2
BinTreeII_8192B_Y=60_2018-10-03:20:08:17/
cheney;19001.15;12324;5.299187;3
custom;11386.23;7588;3.217886;2
generated;7974.179;7088;2.219512;2
BinTreeII_8192B_Y=61_2018-10-03:20:08:27/
cheney;16216.56;11514;4.577778;3
custom;8887.583;6540;2.557265;2
generated;6540.068;6302;1.841026;2
BinTreeII_8192B_Y=6_2018-10-03:19:59:49/
cheney;15205.86;11419;4.205446;3
custom;10559.3;8151;2.966584;2
generated;9315.01;8950;2.582921;2
BinTreeII_8192B_Y=62_2018-10-03:20:08:36/
cheney;19126.9;15590;5.283159;4
custom;8799.487;8580;2.500745;2
generated;9828.083;9808;2.749627;3
BinTreeII_8192B_Y=63_2018-10-03:20:08:46/
cheney;21257.28;15121;5.94012;4
custom;10623.4;8331;2.995509;2
generated;7920.383;7947;2.244012;2
BinTreeII_8192B_Y=64_2018-10-03:20:08:56/
cheney;17871.52;11936;4.992413;3
custom;8242.522;6692;2.349014;2
generated;7441.19;7370;2.068285;2
BinTreeII_8192B_Y=65_2018-10-03:20:09:04/
cheney;15400.74;11269;4.266537;3
custom;9758.074;8539;2.776265;2
generated;9718.619;9387;2.700389;3
BinTreeII_8192B_Y=66_2018-10-03:20:09:14/
cheney;24643.52;19858;6.890467;6
custom;9010.471;7374;2.608519;2
generated;7545.822;7318;2.127789;2
BinTreeII_8192B_Y=67_2018-10-03:20:09:24/
cheney;23730.88;16958;6.627413;5
custom;9719.853;7523;2.810811;2
generated;7397.846;7182;2.096525;2
BinTreeII_8192B_Y=68_2018-10-03:20:09:32/
cheney;10592.24;10698;2.974708;3
custom;9000.763;8305;2.535019;2
generated;9003.533;8745;2.494163;2
BinTreeII_8192B_Y=69_2018-10-03:20:09:41/
cheney;16647.78;11559;4.657303;3
custom;11725.67;8920;3.355805;3
generated;8209.127;7812;2.277154;2
BinTreeII_8192B_Y=70_2018-10-03:20:09:51/
cheney;26968.37;21384;7.490534;6
custom;12311.61;9182;3.414802;3
generated;9137.139;9398;2.562823;3
BinTreeII_8192B_Y=71_2018-10-03:20:10:01/
cheney;17812.53;12979;4.980072;4
custom;14250.51;10090;4.016304;3
generated;8082.649;7586;2.280797;2
BinTreeII_8192B_Y=7_2018-10-03:19:59:59/
cheney;22020.97;14664;6.060052;4
custom;9913.718;8404;2.808094;2
generated;8986.778;8419;2.52611;2
BinTreeII_8192B_Y=72_2018-10-03:20:10:09/
cheney;17282.02;12936;4.761827;4
custom;10656.22;8942;2.93801;3
generated;11060.11;10644;3.071778;3
BinTreeII_8192B_Y=73_2018-10-03:20:10:19/
cheney;21867.03;15823;6.05802;4
custom;10109.73;9132;2.875427;3
generated;8933.147;8388;2.491468;2
BinTreeII_8192B_Y=74_2018-10-03:20:10:29/
cheney;24786.65;16887;6.890476;5
custom;14625.76;9691;4.150794;3
generated;9160.841;9026;2.54127;2
BinTreeII_8192B_Y=75_2018-10-03:20:10:39/
cheney;19678.64;14317;5.467014;4
custom;10982.16;8099;3.121528;2
generated;8104.003;7348;2.246528;2
BinTreeII_8192B_Y=76_2018-10-03:20:10:48/
cheney;16681.33;15134;4.629247;4
custom;12564.32;10838;3.522895;3
generated;11594.75;11524;3.22452;3
BinTreeII_8192B_Y=77_2018-10-03:20:10:57/
cheney;23348.61;16432;6.4522;5
custom;12243.61;9984;3.429439;3
generated;12140.56;9684;3.37481;3
BinTreeII_8192B_Y=78_2018-10-03:20:11:07/
cheney;14045.79;11515;3.92268;3
custom;11130.9;7373;3.120275;2
generated;7580.326;6838;2.12543;2
BinTreeII_8192B_Y=79_2018-10-03:20:11:17/
cheney;17972.04;12596;4.967239;4
custom;11048.51;9110;3.101404;2
generated;8672.73;8278;2.439938;2
BinTreeII_8192B_Y=80_2018-10-03:20:11:27/
cheney;18001.05;15738;4.979947;4
custom;14832.86;12441;4.173797;3
generated;11820.47;11241;3.27139;3
BinTreeII_8192B_Y=81_2018-10-03:20:11:36/
cheney;26766.42;18834;7.156627;5
custom;9249.84;8405;2.623494;2
generated;9056.166;8641;2.5;2
BinTreeII_8192B_Y=8_2018-10-03:20:00:09/
cheney;18661.31;12388;5.203608;4
custom;8924.093;7958;2.462629;2
generated;8700.348;8377;2.427835;2
BinTreeII_8192B_Y=82_2018-10-03:20:11:45/
cheney;16739;11608;4.639716;3
custom;10329.48;9160;2.876596;3
generated;10947.35;9888;3.049645;3
BinTreeII_8192B_Y=83_2018-10-03:20:11:54/
cheney;22177.1;16914;6.154967;5
custom;12975.16;10198;3.618543;3
generated;9898.705;9648;2.754967;3
BinTreeII_8192B_Y=84_2018-10-03:20:12:04/
cheney;20573.98;13281;5.675953;4
custom;10105.3;7987;2.819648;2
generated;10049.44;8746;2.818182;2
BinTreeII_8192B_Y=85_2018-10-03:20:12:14/
cheney;19095.35;15494;5.338571;4
custom;9504.569;8730;2.711429;2
generated;9268.934;7870;2.597143;2
BinTreeII_8192B_Y=86_2018-10-03:20:12:22/
cheney;9294.799;7965;2.612745;2
custom;7215.632;6806;2.068627;2
generated;7919.544;7595;2.22549;2
BinTreeII_8192B_Y=87_2018-10-03:20:12:31/
cheney;18743.54;14136;5.278607;4
custom;10725.85;7249;3.106965;2
generated;6399.985;6076;1.838308;2
BinTreeII_8192B_Y=88_2018-10-03:20:12:41/
cheney;17457.78;10702;4.948655;3
custom;11066.18;7872;3.180929;2
generated;6905.374;6118;1.977995;2
BinTreeII_8192B_Y=89_2018-10-03:20:12:49/
cheney;8874.153;8466;2.503704;2
custom;7983.521;7062;2.259259;2
generated;6394.277;5664;1.817284;2
BinTreeII_8192B_Y=90_2018-10-03:20:12:59/
cheney;18457.41;12112;5.179487;4
custom;11202.39;8180;3.181818;2
generated;6918.294;7478;1.941725;2
BinTreeII_8192B_Y=91_2018-10-03:20:13:08/
cheney;24273.33;21020;6.771363;6
custom;8281.797;8090;2.404157;2
generated;6784.905;7130;1.930716;2
BinTreeII_8192B_Y=9_2018-10-03:20:00:17/
cheney;12597.38;11464;3.500686;3
custom;9967.712;8926;2.788752;3
generated;9588.823;8664;2.694102;3
BinTreeII_8192B_Y=92_2018-10-03:20:13:18/
cheney;16289.27;10434;4.580569;3
custom;8413.915;6644;2.443128;2
generated;7020.488;6349;2.007109;2
BinTreeII_8192B_Y=93_2018-10-03:20:13:28/
cheney;18931.96;12802;5.277273;4
custom;10458.37;7218;3.006818;2
generated;6571.732;6415;1.884091;2
BinTreeII_8192B_Y=94_2018-10-03:20:13:36/
cheney;15071.49;10996;4.185106;3
custom;10427;8653;2.957447;3
generated;8749.166;9102;2.42766;2
BinTreeII_8192B_Y=95_2018-10-03:20:13:45/
cheney;18098.34;12996;5.069196;4
custom;11100.36;8240;3.189732;2
generated;6824.616;6649;1.926339;2
BinTreeII_8192B_Y=96_2018-10-03:20:13:55/
cheney;20718.43;16462;5.838565;4.5
custom;8187.04;7295;2.421525;2
generated;6249.3;6404;1.795964;2
BinTreeII_8192B_Y=97_2018-10-03:20:14:05/
cheney;20876.82;14702;5.835938;4
custom;8395.656;7684;2.392578;2
generated;8491.449;8259;2.345703;2
BinTreeII_8192B_Y=98_2018-10-03:20:14:14/
cheney;20559.75;15055;5.766393;4
custom;9326.258;7705;2.643443;2
generated;7203.287;7368;2.026639;2
BinTreeII_8192B_Y=99_2018-10-03:20:14:23/
cheney;10029.17;9193;2.802905;3
custom;8283.199;7530;2.334025;2
generated;8039.369;7537;2.238589;2
BinTreeIII_8192B_C=10_2018-10-03:20:20:15/
cheney;13695.7;10964;3.827397;3
custom;9170.277;8445;2.584932;2
generated;9505.592;8960;2.684932;3
BinTreeIII_8192B_C=11_2018-10-03:20:20:24/
cheney;12886.97;12578;3.571623;3
custom;11006.75;8920;3.080491;3
generated;10415.95;9434;2.877217;3
BinTreeIII_8192B_C=1_2018-10-03:20:18:55/
cheney;12162.58;11521;3.348404;3
custom;10751.35;10160;3.006649;3
generated;10586.53;9816;2.962766;3
BinTreeIII_8192B_C=12_2018-10-03:20:20:33/
cheney;17293.67;13230;4.816825;4
custom;12347.18;8914;3.46133;3
generated;9474.562;8986;2.65943;3
BinTreeIII_8192B_C=13_2018-10-03:20:20:41/
cheney;12685.68;11704;3.517053;3
custom;11017.57;9576;3.08322;3
generated;10392;9490;2.874488;3
BinTreeIII_8192B_C=14_2018-10-03:20:20:51/
cheney;15433.32;11738;4.29932;3
custom;10058.7;8644;2.828571;2
generated;9904.678;9116;2.760544;3
BinTreeIII_8192B_C=15_2018-10-03:20:21:00/
cheney;12094.58;11470;3.362022;3
custom;12241.73;9390;3.434426;3
generated;11063.21;10383;3.079235;3
BinTreeIII_8192B_C=16_2018-10-03:20:21:09/
cheney;14733.64;11404;4.121045;3
custom;13536.53;9940;3.85282;3
generated;11348.72;9168;3.158184;3
BinTreeIII_8192B_C=17_2018-10-03:20:21:18/
cheney;13927;11502;3.846259;3
custom;9058.278;8446;2.521088;2
generated;10190.84;9346;2.823129;3
BinTreeIII_8192B_C=18_2018-10-03:20:21:27/
cheney;13596.04;11604;3.791105;3
custom;10502.14;8973;2.983827;3
generated;9633.03;9128;2.685984;3
BinTreeIII_8192B_C=19_2018-10-03:20:21:36/
cheney;13191.24;11464;3.647773;3
custom;13539.32;11304;3.784076;3
generated;10467.99;9510;2.905533;3
BinTreeIII_8192B_C=20_2018-10-03:20:21:45/
cheney;12417.83;11260;3.462567;3
custom;10325.45;8819;2.913102;3
generated;9769.754;9250;2.755348;3
BinTreeIII_8192B_C=21_2018-10-03:20:21:53/
cheney;11997.22;11238;3.351279;3
custom;10561.03;8986;2.962315;3
generated;10355.99;9536;2.874832;3
BinTreeIII_8192B_C=2_2018-10-03:20:19:04/
cheney;14186.2;10926;3.951857;3
custom;8339.791;7910;2.363136;2
generated;8657.213;8356;2.418157;2
BinTreeIII_8192B_C=22_2018-10-03:20:22:03/
cheney;13081.6;11146;3.678426;3
custom;10409.05;8648;2.907734;2
generated;10105.82;9418;2.799186;3
BinTreeIII_8192B_C=23_2018-10-03:20:22:11/
cheney;12282.69;11528;3.407258;3
custom;12270.61;10454;3.426075;3
generated;11136.93;10591;3.112903;3
BinTreeIII_8192B_C=24_2018-10-03:20:22:20/
cheney;15271.42;11252;4.263302;3
custom;10715.38;9292;2.991814;3
generated;9642.467;9098;2.694407;3
BinTreeIII_8192B_C=25_2018-10-03:20:22:29/
cheney;12216.42;11522;3.401907;3
custom;11713.33;10559;3.250681;3
generated;10716.05;9893;2.985014;3
BinTreeIII_8192B_C=26_2018-10-03:20:22:38/
cheney;14905.69;11235;4.140921;3
custom;11974.16;8957;3.378049;3
generated;9910.206;9331;2.791328;3
BinTreeIII_8192B_C=27_2018-10-03:20:22:46/
cheney;15732.82;12973;4.36376;4
custom;12438.7;10849;3.46049;3
generated;10690.51;9855;2.935967;3
BinTreeIII_8192B_C=28_2018-10-03:20:22:55/
cheney;12291.58;11267;3.401099;3
custom;9277.832;8247;2.549451;2
generated;9803.731;9283;2.758242;3
BinTreeIII_8192B_C=29_2018-10-03:20:23:04/
cheney;12584.8;12060;3.491204;3
custom;14871.65;11300;4.158322;3
generated;10546.55;9642;2.939107;3
BinTreeIII_8192B_C=30_2018-10-03:20:23:13/
cheney;12287.61;11216;3.43414;3
custom;9448.962;8653;2.669355;2
generated;9899.651;9284;2.768817;3
BinTreeIII_8192B_C=31_2018-10-03:20:23:22/
cheney;14110.49;12002;3.932969;3
custom;13321.87;11148;3.726402;3
generated;10643.08;9680;2.922025;3
BinTreeIII_8192B_C=3_2018-10-03:20:19:13/
cheney;13560.11;11318;3.758197;3
custom;11829.24;8441;3.308743;2
generated;10229.54;9007;2.848361;3
BinTreeIII_8192B_C=32_2018-10-03:20:23:31/
cheney;12562.46;11156;3.482993;3
custom;10609.19;8702;2.970068;3
generated;11466.74;9306;3.170068;3
BinTreeIII_8192B_C=33_2018-10-03:20:23:40/
cheney;12149.26;11448;3.350068;3
custom;13859.12;10770;3.819539;3
generated;11172.75;10666;3.086839;3
BinTreeIII_8192B_C=34_2018-10-03:20:23:49/
cheney;14362.71;11521;4.016304;3
custom;11537.07;9031;3.21875;3
generated;9798.957;9307;2.755435;3
BinTreeIII_8192B_C=35_2018-10-03:20:23:58/
cheney;14545.36;11987;4.0271;3
custom;11104.08;9486;3.086721;3
generated;10757.69;9834;3.006775;3
BinTreeIII_8192B_C=36_2018-10-03:20:24:07/
cheney;12729.17;11016;3.526171;3
custom;11203.48;8611;3.132231;2
generated;9787.085;9239;2.735537;3
BinTreeIII_8192B_C=37_2018-10-03:20:24:16/
cheney;12278.3;11346;3.431081;3
custom;11044.29;9989;3.060811;3
generated;10900.39;10211;3.035135;3
BinTreeIII_8192B_C=38_2018-10-03:20:24:25/
cheney;13659.84;11991;3.833333;3
custom;11444.45;9052;3.174731;3
generated;9815.172;9211;2.771505;3
BinTreeIII_8192B_C=39_2018-10-03:20:24:34/
cheney;14537.89;12322;3.948299;3
custom;13075.05;9428;3.621769;3
generated;10447.75;9660;2.912925;3
BinTreeIII_8192B_C=40_2018-10-03:20:24:43/
cheney;12390.52;11523;3.45283;3
custom;9871.903;8731;2.778976;3
generated;10084.35;9382;2.822102;3
BinTreeIII_8192B_C=41_2018-10-03:20:24:52/
cheney;14711.55;12647;4.065395;4
custom;13770.15;9909;3.83515;3
generated;11300.93;10892;3.144414;3
BinTreeIII_8192B_C=4_2018-10-03:20:19:21/
cheney;13207.09;11578;3.702332;3
custom;8648.225;8032;2.455418;2
generated;9575.01;8836;2.687243;3
BinTreeIII_8192B_C=42_2018-10-03:20:25:01/
cheney;15719.44;12022;4.374491;3
custom;10387.32;9130;2.903664;3
generated;9707.791;9136;2.690638;3
BinTreeIII_8192B_C=43_2018-10-03:20:25:09/
cheney;12565.02;11606;3.482289;3
custom;12739.27;9782;3.553134;3
generated;10138.45;9376;2.832425;3
BinTreeIII_8192B_C=44_2018-10-03:20:25:19/
cheney;13534.64;11304;3.780952;3
custom;11051.21;9486;3.091156;3
generated;9918.814;9282;2.797279;3
BinTreeIII_8192B_C=45_2018-10-03:20:25:27/
cheney;16280.59;12698;4.504775;4
custom;12428.76;10170;3.46794;3
generated;10653.83;9722;2.941337;3
BinTreeIII_8192B_C=46_2018-10-03:20:25:37/
cheney;13234.12;11456;3.670285;3
custom;13400.99;9934;3.776119;3
generated;9993.867;9090;2.781547;3
BinTreeIII_8192B_C=47_2018-10-03:20:25:45/
cheney;12970.52;13152;3.604651;4
custom;12035.76;9556;3.359781;3
generated;10428.57;9538;2.880985;3
BinTreeIII_8192B_C=48_2018-10-03:20:25:54/
cheney;14165.5;12420;3.99594;4
custom;10449.04;8982;2.887686;3
generated;9769.004;9278;2.740189;3
BinTreeIII_8192B_C=49_2018-10-03:20:26:03/
cheney;12758.23;11798;3.542625;3
custom;11420.16;10020;3.188092;3
generated;10605.19;9646;2.902571;3
BinTreeIII_8192B_C=50_2018-10-03:20:26:12/
cheney;12996.13;11149;3.648501;3
custom;10697.3;8685;2.991826;2.5
generated;9789.924;9166;2.769755;3
BinTreeIII_8192B_C=51_2018-10-03:20:26:20/
cheney;11821;11209;3.276423;3
custom;11351.3;10132;3.162602;3
generated;10807.23;9913;2.99187;3
BinTreeIII_8192B_C=5_2018-10-03:20:19:30/
cheney;13769.97;11616;3.81965;3
custom;9477.217;8330;2.641992;2
generated;10147.94;9346;2.788694;3
BinTreeIII_8192B_C=52_2018-10-03:20:26:29/
cheney;12028.67;11183;3.376694;3
custom;10115.04;8714;2.825203;3
generated;10145.53;9626;2.882114;3
BinTreeIII_8192B_C=53_2018-10-03:20:26:38/
cheney;14168.27;12534;3.927793;3
custom;12353.87;10607;3.438692;3
generated;11313.02;11201;3.094005;3
BinTreeIII_8192B_C=54_2018-10-03:20:26:47/
cheney;15554.03;11979;4.326975;3
custom;12790.31;10041;3.591281;3
generated;9773.322;9224;2.678474;3
BinTreeIII_8192B_C=55_2018-10-03:20:26:56/
cheney;12038.36;11421;3.33288;3
custom;11858.97;9221;3.307065;3
generated;10468.11;9709;2.899457;3
BinTreeIII_8192B_C=56_2018-10-03:20:27:05/
cheney;11868.03;11100;3.347527;3
custom;10838.34;8627;3.043956;3
generated;9879.484;9262;2.75;3
BinTreeIII_8192B_C=57_2018-10-03:20:27:14/
cheney;13177.86;12440;3.639946;3
custom;12181.64;9555;3.39538;3
generated;11601.01;10148;3.214674;3
BinTreeIII_8192B_C=58_2018-10-03:20:27:23/
cheney;14953.65;11677;4.154472;3
custom;12558.99;9486;3.50271;3
generated;9816.425;9287;2.741192;3
BinTreeIII_8192B_C=59_2018-10-03:20:27:32/
cheney;12049.74;11435;3.328804;3
custom;12379.89;10031;3.46875;3
generated;11094.94;10694;3.096467;3
BinTreeIII_8192B_C=60_2018-10-03:20:27:41/
cheney;14147.02;11763;3.945946;3
custom;10872.8;8865;3.040541;3
generated;10226.83;9360;2.863514;3
BinTreeIII_8192B_C=61_2018-10-03:20:27:49/
cheney;12971.38;12230;3.580952;3
custom;10849.3;9410;3.035374;3
generated;10510.71;9538;2.865306;3
BinTreeIII_8192B_C=6_2018-10-03:20:19:39/
cheney;13374.36;11235;3.721918;3
custom;12048.62;8865;3.40411;3
generated;9375.795;8902;2.60411;2
BinTreeIII_8192B_C=62_2018-10-03:20:27:58/
cheney;12599.39;11829;3.513477;3
custom;10297.41;8816;2.886792;3
generated;9493.143;9088;2.630728;3
BinTreeIII_8192B_C=63_2018-10-03:20:28:07/
cheney;14561.17;12145;3.995913;3
custom;12689.01;10111;3.550409;3
generated;10225.75;9427;2.837875;3
BinTreeIII_8192B_C=64_2018-10-03:20:28:16/
cheney;12925.52;11294;3.584345;3
custom;9257.711;8578;2.604588;2
generated;10255.72;9638;2.932524;3
BinTreeIII_8192B_C=65_2018-10-03:20:28:24/
cheney;13055.36;11958;3.600812;3
custom;12750.2;9618;3.546685;3
generated;10452.68;9628;2.872801;3
BinTreeIII_8192B_C=66_2018-10-03:20:28:34/
cheney;13434.11;11458;3.733871;3
custom;10081.32;8965;2.830645;3
generated;9462.651;9098;2.674731;3
BinTreeIII_8192B_C=67_2018-10-03:20:28:42/
cheney;13667.83;11505;3.787062;3
custom;13410.92;11156;3.71159;3
generated;10988.43;10413;3.060647;3
BinTreeIII_8192B_C=68_2018-10-03:20:28:51/
cheney;13817.6;12030;3.857335;3
custom;11294.97;8980;3.204576;3
generated;9982.538;9408;2.759085;3
BinTreeIII_8192B_C=69_2018-10-03:20:29:00/
cheney;14047.84;12090;3.884824;3
custom;11268.19;9236;3.153117;3
generated;10871.7;9964;3;3
BinTreeIII_8192B_C=70_2018-10-03:20:29:09/
cheney;12842.61;11110;3.612991;3
custom;9770.068;8490;2.859269;2
generated;9690.373;9202;2.709066;3
BinTreeIII_8192B_C=71_2018-10-03:20:29:18/
cheney;16110.39;13870;4.470748;4
custom;10009;8890;2.813605;3
generated;10629.82;9836;2.956463;3
BinTreeIII_8192B_C=7_2018-10-03:20:19:48/
cheney;12799.23;11004;3.544582;3
custom;10603.7;8806;2.943759;3
generated;10079.23;9188;2.798354;3
BinTreeIII_8192B_C=72_2018-10-03:20:29:27/
cheney;14746.23;12320;4.098516;3
custom;9414.613;8846;2.673414;3
generated;9897.042;9338;2.775978;3
BinTreeIII_8192B_C=73_2018-10-03:20:29:36/
cheney;12884.71;11978;3.524899;3
custom;13125.51;10716;3.656797;3
generated;10229.21;9502;2.827725;3
BinTreeIII_8192B_C=74_2018-10-03:20:29:45/
cheney;12193.72;11236;3.398363;3
custom;13186.17;10000;3.657572;3
generated;9974.265;9400;2.822647;3
BinTreeIII_8192B_C=75_2018-10-03:20:29:53/
cheney;13070.87;11850;3.646424;3
custom;12016.99;9670;3.354926;3
generated;10580.23;9650;2.896086;3
BinTreeIII_8192B_C=8_2018-10-03:20:19:57/
cheney;13588.98;11452;3.8107;3
custom;12277.64;9248;3.443073;3
generated;10818.33;9034;3.027435;3
BinTreeIII_8192B_C=9_2018-10-03:20:20:06/
cheney;12099.8;11296;3.366848;3
custom;11594.03;10226;3.226902;3
generated;10601.41;9698;2.976902;3
BinTreeIV_1048576B_C=_2018-10-03:20:35:21/
cheney;959402.3;947612;259.8069;257
custom;672352.9;666096;182.2077;180
generated;756970.8;752228;205.1158;204
BinTreeIV_131072B_C=_2018-10-03:20:31:12/
cheney;133505.3;121498;36.22059;33
custom;95537.4;83771;25.91578;23
generated;98992.98;96162;26.87567;26
BinTreeIV_16384B_C=_2018-10-03:20:30:12/
cheney;21080.29;19386;5.758621;5
custom;16816.96;13505;4.651194;4
generated;17611.42;16033;4.864721;5
BinTreeIV_2097152B_C=_2018-10-03:20:39:43/
cheney;1908367;1887050;516.376;511
custom;1338617;1326179;362.404;359
generated;1510212;1486544;408.8413;403
BinTreeIV_262144B_C=_2018-10-03:20:31:53/
cheney;251839.6;239384;68.32443;65
custom;175132.2;166884;47.57276;45
generated;194443.9;191978;52.80374;52
BinTreeIV_32768B_C=_2018-10-03:20:30:27/
cheney;43644.82;34219;11.94562;9
custom;31329.32;23812;8.61008;7
generated;27283.31;26692;7.490716;7
BinTreeIV_4194304B_C=_2018-10-03:20:46:51/
cheney;3976059;3786857;1075.789;1025
custom;2748400;2676289;743.8373;725
generated;3116780;2985031;843.6547;808
BinTreeIV_524288B_C=_2018-10-03:20:33:05/
cheney;480087.6;474383;130.1667;129
custom;339908.1;334732;92.22667;91
generated;383044.7;374991;103.9107;102
BinTreeIV_65536B_C=_2018-10-03:20:30:46/
cheney;74125.29;62746;20.09237;17
custom;52188.48;43574;14.23025;12
generated;53095.76;50772;14.46185;14
BinTreeIV_8192B_C=_2018-10-03:20:30:03/
cheney;13644.86;11892;3.788595;3
custom;8133.833;7360;2.328234;2
generated;8818.225;8234;2.499305;2
BinTreeIV_8388608B_C=_2018-10-03:21:00:13/
cheney;8218353;7640337;2223.212;2067
custom;5622164;5415284;1520.728;1464.5
generated;6300033;6024823;1703.911;1630
GraphI_8192B_Z=10_2018-10-03:21:01:42/
cheney;11654.2;10035;3.388889;3
custom;8093.762;5890;2.427509;2
generated;3660.17;3344;1.07037;1
GraphI_8192B_Z=11_2018-10-03:21:01:50/
cheney;6800.832;4222;1.942652;1
custom;4632.148;4230;1.369004;1
generated;4533.118;3922;1.311828;1
GraphI_8192B_Z=1_2018-10-03:21:00:22/
cheney;11194.81;11784;3.392593;4
custom;7375.91;5898;2.212687;2
generated;3214.444;2959;0.937037;1
GraphI_8192B_Z=12_2018-10-03:21:01:59/
cheney;10350.04;7670;2.974638;2
custom;7008.619;5436;2.104478;2
generated;3926.587;3613;1.097826;1
GraphI_8192B_Z=13_2018-10-03:21:02:08/
cheney;13211.49;14808;3.841912;4
custom;6272.404;5098;1.928839;2
generated;3788.081;3516;1.058824;1
GraphI_8192B_Z=14_2018-10-03:21:02:16/
cheney;4560.051;3743;1.343066;1
custom;4787.489;3901;1.411111;1
generated;4174.015;3672;1.178832;1
GraphI_8192B_Z=15_2018-10-03:21:02:25/
cheney;10555.84;8679;3.087591;3
custom;9599.48;7856;2.843866;2
generated;4253.409;3680;1.193431;1
GraphI_8192B_Z=16_2018-10-03:21:02:35/
cheney;11592.94;8599;3.348921;2
custom;7072.104;5928;2.081784;2
generated;4237.871;3959;1.230216;1
GraphI_8192B_Z=17_2018-10-03:21:02:42/
cheney;4631.087;4063;1.32971;1
custom;3619.413;3076;1.048327;1
generated;4912.819;4080;1.413043;1
GraphI_8192B_Z=18_2018-10-03:21:02:52/
cheney;13458.77;11990;3.821429;3
custom;6533.585;5366;1.9;2
generated;4196.064;3849;1.228571;1
GraphI_8192B_Z=19_2018-10-03:21:03:01/
cheney;9715.24;4894;2.810036;2
custom;9284.778;5374;2.422222;2
generated;5336.781;3940;1.562724;1
GraphI_8192B_Z=20_2018-10-03:21:03:09/
cheney;6460.512;5614;1.857651;2
custom;5550.738;4492;1.627306;1
generated;5157.523;4504;1.483986;1
GraphI_8192B_Z=21_2018-10-03:21:03:18/
cheney;11743.81;7791;3.371429;2
custom;8632.37;7099;2.57037;2
generated;4678.6;4232;1.325;1
GraphI_8192B_Z=2_2018-10-03:21:00:30/
cheney;4857.628;3668;1.423792;1
custom;4728.33;3940;1.382022;1
generated;4006.959;3356;1.144981;1
GraphI_8192B_Z=22_2018-10-03:21:03:27/
cheney;13162.48;12035;3.780142;3
custom;6953.24;6116;2.077491;2
generated;4579;4212;1.287234;1
GraphI_8192B_Z=23_2018-10-03:21:03:36/
cheney;8588.44;4736;2.404255;1
custom;7128.753;5028;2.081181;2
generated;5364.319;4703;1.560284;2
GraphI_8192B_Z=24_2018-10-03:21:03:45/
cheney;9716.064;5314;2.805654;2
custom;5967.881;4093;1.755556;1
generated;4863.074;4428;1.448763;1
GraphI_8192B_Z=25_2018-10-03:21:03:53/
cheney;9037.28;6283;2.534965;2
custom;5554.331;4692;1.621324;1
generated;5218;4556;1.465035;1
