GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
generated;9179.399;8653;2.570402;2
BinTreeI_8192B_Z=43_2018-10-03:19:49:54/
cheney;13709.12;10114;3.802837;3
custom;10316.9;8342;2.92766;2
generated;8193.421;7864;2.297872;2
BinTreeI_8192B_Z=44_2018-10-03:19:50:03/
cheney;17145.15;12980;4.770655;4
custom;9959.67;7703;2.860399;2
generated;7786.311;7454;2.189459;2
BinTreeI_8192B_Z=45_2018-10-03:19:50:13/
cheney;19601.75;13220;5.460472;4
custom;9246.68;7736;2.578363;2
generated;8444.374;8166;2.355062;2
BinTreeI_8192B_Z=46_2018-10-03:19:50:23/
cheney;19196.96;13659;5.370739;4
custom;10284.56;7376;2.910511;2
generated;8037.807;7667;2.255682;2
BinTreeI_8192B_Z=47_2018-10-03:19:50:32/
cheney;15252.8;13870;4.235624;4
custom;8707.4;8126;2.454418;2
generated;10952.24;8728;3.070126;3
BinTreeI_8192B_Z=48_2018-10-03:19:50:41/
cheney;14974.55;10846;4.204196;3
custom;10386.69;7666;2.953846;2
generated;8625.091;7970;2.406993;2
BinTreeI_8192B_Z=49_2018-10-03:19:50:51/
cheney;22615.95;14492;6.296247;4
custom;9564.367;8135;2.689008;2
generated;8932.306;8568;2.508043;2
BinTreeI_8192B_Z=50_2018-10-03:19:51:01/
cheney;19780.47;14190;5.531507;4
custom;9535.523;7629;2.684932;2
generated;8879.477;8184;2.456164;2
BinTreeI_8192B_Z=51_2018-10-03:19:51:11/
cheney;18120.81;12805;5.064917;4
custom;10350.54;8040;2.892265;2
generated;11214.31;8303;3.13674;2
BinTreeI_8192B_Z=5_2018-10-03:19:44:03/
cheney;7977.725;5082;2.311355;2
custom;4118.198;3584;1.274725;1
generated;3600.824;3242;1.045788;1
BinTreeI_8192B_Z=52_2018-10-03:19:51:21/
cheney;17548.31;12053;4.888283;3
custom;11412.43;8402;3.197548;2
generated;8761.398;8407;2.407357;2
BinTreeI_8192B_Z=53_2018-10-03:19:51:30/
cheney;13419.89;11252;3.742404;3
custom;9817.535;9236;2.747688;3
generated;10984.21;10550;3.040951;3
BinTreeI_8192B_Z=54_2018-10-03:19:51:39/
cheney;17824.2;11778;4.97351;3
custom;10413.11;8368;2.892715;2
generated;9030.636;8606;2.49404;2
BinTreeI_8192B_Z=55_2018-10-03:19:51:49/
cheney;20366.65;12013;5.613695;3
custom;11335.43;8410;3.142119;2
generated;9552.088;9097;2.687339;3
BinTreeI_8192B_Z=56_2018-10-03:19:51:59/
cheney;20919.66;13966;5.800761;4
custom;10553.05;8676;2.92132;2
generated;10004.62;9475;2.798223;3
BinTreeI_8192B_Z=57_2018-10-03:19:52:08/
cheney;14680.4;14954;4.087011;4
custom;10924.43;9960;3.016393;3
generated;11227.14;10202;3.090794;3
BinTreeI_8192B_Z=58_2018-10-03:19:52:18/
cheney;18591.06;12498;5.115979;3
custom;15525.48;10030;4.354381;3
generated;9855.66;9208;2.752577;3
BinTreeI_8192B_Z=59_2018-10-03:19:52:27/
cheney;19249.82;13580;5.332071;4
custom;12912.37;9066;3.575758;3
generated;10350.53;9454;2.868687;3
BinTreeI_8192B_Z=60_2018-10-03:19:52:37/
cheney;24276.31;15956;6.704459;4
custom;12453.91;9402;3.431847;3
generated;9583.735;9186;2.64586;3
BinTreeI_8192B_Z=61_2018-10-03:19:52:47/
cheney;21247.61;16358;5.907574;5
custom;11512.76;8450;3.191271;2
generated;9942.634;9134;2.784339;3
BinTreeI_8192B_Z=6_2018-10-03:19:44:12/
cheney;8693.33;6453;2.52509;2
custom;5574.964;4500;1.645161;1
generated;4287;3837;1.232975;1
BinTreeI_8192B_Z=62_2018-10-03:19:52:57/
cheney;21549.87;13256;5.95297;4
custom;10808.18;8912;3.019802;3
generated;13588.25;10074;3.721535;3
BinTreeI_8192B_Z=63_2018-10-03:19:53:08/
cheney;25965.67;17624;7.217997;5
custom;9732.099;8654;2.723701;3
generated;9800.692;9224;2.73384;3
